rank,city,GDP_billion,population_thousand
1,Shanghai,3815.5,24240
2,Beijing,3537.1,21710
3,Shenzhen,2692.7,13020
4,Guangzhou,2362.8,14910
5,Chongqing,2360.5,33720
6,Suzhou,1923.5,10730
7,Chengdu,1701.2,16330
8,Wuhan,1690,11120
9,Hangzhou,1537.3,10360
10,Tianjin,1410.4,15600
11,Nanjing,1403,8500
12,Changsha,1258,8160
13,Ningbo,1198.5,8210
14,Wuxi,1185.2,6580
15,Qingdao,1174.1,9400
16,Zhengzhou,1138,10140
17,Foshan,1075.1,8460
18,Quanzhou,994.6,8700
19,Dongguan,948.2,8400
20,Jinan,944.3,8830
21,Hefei,940.9,8090
22,Fuzhou,939.2,7740
23,Nantong,938.3,7310
24,Xi'an,932.1,12550
25,Yantai,765.3,7130
26,Changzhou,740,5200
27,Xuzhou,715.1,8920
28,Dalian,700.1,5960
29,Tangshan,689,7940
30,Wenzhou,660.6,9180
31,Kunming,647.5,7270
32,Shenyang,647,8320
33,Xiamen,599.5,4110
34,Changchun,590.4,8000
35,Yangzhou,585,5000
36,Shijiazhuang,580.9,10960
37,Shaoxing,578,5010
38,Yancheng,570.2,8250
39,Weifang,568.8,9370
40,Nanchang,559.6,5550
41,Jiaxing,537,4660
42,Harbin,524.9,9520
43,Taizhou,513.3,5060
44,Luoyang,505,7140
45,Xiangyang,481.2,6050
46,Zhangzhou,474.1,5100
47,Linyi,460,11240
48,Jinhua,455.9,5570
49,Nanning,450.6,7570
50,Jining,437,8350
51,Yichang,430.6,4170
52,Huizhou,417.7,4830
53,Yulin,413.6,3700
54,Zhenjiang,412.7,3200
55,Guiyang,403.9,4890
56,Taiyuan,402.8,4430
57,Handan,390.2,9530
58,Baoding,388.1,11700
59,Yueyang,387.6,5690
60,Huaian,387.1,5640
61,Nanyang,377.6,10020
62,Zibo,364.2,4710
63,Changde,362.4,5830
64,Wuhu,361.8,3740
65,Eerduosi,360.5,2010
66,Cangzhou,358.8,7590
67,Langfang,352.6,4800
68,Wulumuqi,349.3,3510
69,Zunyi,348.3,8060
70,Ganzhou,347.4,9820
71,Zhuhai,343.5,1900
72,Heze,340.9,8430
73,Maoming,325.2,8030
74,Hengyang,320.5,7210
75,Jiangmen,314.6,4600
76,Lianyungang,313.9,4520
77,Liuzhou,312.8,4050
78,Huzhou,312.2,3000
79,Jiujiang,312.1,4900
80,Xu Chang,311.9,4440
81,Zhongshan,310.1,3310
82,Suqian,309.9,4930
83,Zhoukou,308.1,8680
84,Zhanjiang,306.5,7340
85,Dezhou,302.2,5810
86,Zhuzhou,300.3,4030
87,Weihai,296.3,2830
88,Baotou,295.7,2890
89,Huhehaote,294.4,3120
90,Dongying,291.6,2140
91,Chuzhou,290.9,4110
92,Xinxiang,287.6,5800
93,Mianyang,285.6,4850
94,Anyang,284.2,5170
95,Lanzhou,283.7,4020
96,Fuyang,270.5,8210
97,Shangqiu,270.2,7320
98,Yichuan,190,2859
99,Xining,133,2468
100,Lasa,61.8,868